"","33%'","24%'","16%'","D-CH","A-Pr","B-Pr","P","C-CH","P+Ar"
"33%'",1,0.616666666666667,0.0733333333333333,0.656666666666667,0.01,0.00666666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333
"24%'",0.616666666666667,1,0.02,0.96,0.296666666666667,0.243333333333333,0.01,0.01,0.01
"16%'",0.0733333333333333,0.02,1,0.01,0,0.0733333333333333,0.99,0.99,0.99
"D-CH",0.656666666666667,0.96,0.01,1,0.266666666666667,0.216666666666667,0,0,0
"A-Pr",0.01,0.296666666666667,0,0.266666666666667,1,0.913333333333333,0,0,0
"B-Pr",0.00666666666666667,0.243333333333333,0.0733333333333333,0.216666666666667,0.913333333333333,1,0.0666666666666667,0.0666666666666667,0.0666666666666667
"P",0.0833333333333333,0.01,0.99,0,0,0.0666666666666667,1,1,1
"C-CH",0.0833333333333333,0.01,0.99,0,0,0.0666666666666667,1,1,1
"P+Ar",0.0833333333333333,0.01,0.99,0,0,0.0666666666666667,1,1,1
