"variable","sd","iqr","unique_n","eta_product","eta_panelist","eta_interaction","signal_score","low_information","redundant_with","selected_uncorrelated","normalized_weight"
"MFirm",2.43648307263672,4.05,61,0.655320779451148,0.106898497611899,0.100979947146266,0.554340832304882,FALSE,NA,TRUE,0.158791065748823
"HResistance",2.09306102457043,3.45,53,0.629613318595073,0.100890261584045,0.104248358271949,0.525364960323125,FALSE,NA,TRUE,0.150490920197838
"EShiny",2.41392641327638,3.6375,67,0.580137358030812,0.186083442211402,0.101606880513031,0.478530477517781,FALSE,NA,TRUE,0.137075171248705
"MChalky",2.38100551405279,3.15,61,0.444861021145391,0.286115863515714,0.0843627481286203,0.360498273016771,FALSE,NA,TRUE,0.10326481766629
"MResistance",2.23991793844614,3.6,60,0.522792438045633,0.0240965022464936,0.16736924101023,0.355423197035403,FALSE,NA,TRUE,0.101811060921569
"EYellow",1.67272811642073,2.1,49,0.423726819984175,0.279963617419899,0.0914668886557343,0.332259931328441,FALSE,NA,TRUE,0.0951759378465853
"MMeltdown",2.43520834203216,3.3375,68,0.398180985292466,0.261874061014931,0.0956200901534704,0.302560895138995,FALSE,NA,TRUE,0.0866686417330614
"EWhite",1.66045109500766,2.25,47,0.342656588012255,0.284749217460422,0.129404933021952,0.213251654990303,FALSE,NA,TRUE,0.0610859882498904
"MButter",2.22216863445558,3.15,59,0.329309963385733,0.391106872173285,0.129369772907267,0.199940190478466,FALSE,NA,TRUE,0.0572729160146672
"MSalt",1.72840564446244,2.1375,49,0.252715778357329,0.367701325876159,0.165814687703208,0.0869010906541215,FALSE,NA,TRUE,0.0248928384768771
"MSour",1.91878049323963,2.7,54,0.192564838794793,0.400796846208197,0.135416042859248,0.0571487959355451,FALSE,NA,TRUE,0.0163702864447773
"MFat",2.02010099447443,3.3,50,0.194292443535842,0.402047635430393,0.169516048024892,0.0247763955109499,FALSE,NA,TRUE,0.00709720449825041
"EGrainy",2.21448293280299,3.15,57,0.0829359006246417,0.462071107541674,0.238440958697353,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"NButter",1.90096447250658,3.15,49,0.0777236082648688,0.424630979917479,0.0810912289351386,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"MCreaminess",1.84338349022937,2.4,51,0.147917315496557,0.200816186842304,0.327181131054498,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"NAcidic",1.71029562518385,2.55,48,0.0465591588853831,0.341269676384744,0.149754176327763,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"NOldmilk",1.69457343796697,2.25,44,0.0288076194339678,0.721275602606168,0.0715455764210156,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"NCream",1.68789259682304,2.25,48,0.0457422763642375,0.332229613902133,0.19802203256497,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"MCream",1.61471894669956,2.1375,47,0.152052289482504,0.348552499094659,0.199930161876323,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"MGrainy",1.61384385856969,1.65,45,0.127044382471476,0.405182586602686,0.211291141433014,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"MSweet",1.30461035825736,2.1,37,0.0620799439571503,0.609498936345593,0.120728428928581,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"EGrey",1.06299483090259,1.2,32,0.0858776093176083,0.352812756276254,0.133828183825111,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
"EGreen",0.825823885660943,1.05,25,0.0132976050962315,0.710898774368564,0.0804146517401724,1e-06,FALSE,NA,TRUE,2.86450242333022e-07
